Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
BBQ Sauce (Extra),1 cup,28,,45,0,0,0,0,240,11,0,10,0
Blue Cheese Sauce (Extra),1 cup,28,,160,16,3.5,0,20,250,1,0,1,1
Buffalo Sauce (Extra),1 cup,28,,30,2.5,0,0,0,720,2,0,1,0
Cheese Sauce (Extra),1 cup,28,,40,3.5,1,0,0,160,2,0,0,1
Garlic Sauce (Extra),1 cup,28,,150,17,3,0,0,310,0,0,0,0
Honey Mustard Sauce (Extra),1 cup,28,,150,15,2.5,0,10,120,5,0,4,0
Pizza Sauce (Extra),1 cup,43,,30,1,0,0,0,180,4,1,3,1
Ranch Sauce (Extra),1 cup,28,,100,10,1.5,0,10,240,2,0,1,1
Crushed Red Pepper (Extra),1 packet,1,,0,0,0,0,0,0,1,0,0,0
Parmesan Cheese (Extra),1 packet,3.5,,15,1,0.5,0,5,35,0,0,0,1
Special Seasoning (Extra),1 packet,3,,5,0,0,0,0,420,1,0,0,0
Pepperoncini (Extra),1 pepper,10,,0,0,0,0,0,140,0,0,0,0
Grilled BBQ Chicken & Bacon (Papadia),,338,,840,28,13,0.5,160,2410,85,4,26,60
Italian (Papadia),,350,,940,53,21,1,135,2670,76,4,8,38
Meatball Pepperoni (Papadia),,352,,940,49,21,1,140,2390,79,4,8,42
Philly Steak (Papadia),,395,,810,35,15,0.5,90,2090,80,4,11,40
Chocolate Chip Cookie,1 slice,,,190,9,4.5,0,15,105,26,1,18,2
Double Chocolate Chip Brownie,1 square,,,240,12,3.5,0,15,70,34,1,23,2
Cinnamon Pull-Aparts,1 tray,,,1960,94,36,1,60,1660,264,8,150,19
Pepsi (20 oz),20 oz,,591.5,250,0,0,0,0,55,69,0,69,0
Pepsi (2 liter),2 liter,,2000,900,0,0,0,0,180,246,0,246,0
Diet Pepsi (20 oz),20 oz,,591.5,0,0,0,0,0,60,0,0,0,0
Diet Pepsi (2 liter),2 liter,,2000,0,0,0,0,0,200,0,0,0,0
Pepsi Zero Sugar (20 oz),20 oz,,591.5,0,0,0,0,0,65,0,0,0,0
Pepsi Zero Sugar (2 liter),2 liter,,2000,0,0,0,0,0,240,0,0,0,0
Mountian Dew (20 oz),20 oz,,591.5,270,0,0,0,0,100,73,0,73,0
Mountian Dew (2 liter),2 liter,,2000,960,0,0,0,0,340,260,0,260,0
Diet Mtn Dew (20 oz),20 oz,,591.5,10,0,0,0,0,85,0,0,0,0
Diet Mtn Dew (2 liter),2 liter,,2000,40,0,0,0,0,290,1,0,1,0
Sierra Mist (20 oz),20 oz,,591.5,240,0,0,0,0,60,62,0,62,0
Serra Mist (2 liter),2 liter,,2000,810,0,0,0,0,200,210,0,210,0
Sierra Mist Zero Sugar,2 liter,,2000,0,0,0,0,0,200,0,0,0,0
Aquafina,20 oz,,591.5,0,0,0,0,0,0,0,0,0,0
Cheese Pizza (Gluten Free),1 slice,,60,150,6,3,0,15,310,18,1,3,5
Cheese Pizza (Thin Crust),1 slice,,90,210,11,4.5,0,25,490,20,1,2,8
Pepperoni Pizza (Gluten Free),1 slice,,66,180,9,4.5,0,20,400,18,1,3,6
Pepperoni Pizza (Thin Crust),1 slice,,93,250,14,5,0,30,590,20,1,2,9
"Pepperoni, Smallausage & Six Cheese Pizza (Thin Crust)",1 slice,,92,320,22,9,0,45,700,18,0,1,13
Zesty Italian Trio Pizza (Gluten Free),1 slice,,73,200,11,5,0,25,510,18,1,2,7
Zesty Italian Trio Pizza (Thin Crust),1 slice,,113,300,19,7,0,40,810,20,1,2,12
Garden Fresh Pizza (Gluten Free),1 slice,,79,160,7,3.5,0,15,320,19,2,3,5
Garden Fresh Pizza (Thin Crust),1 slice,,112,210,10,4,0,20,460,21,1,3,8
BBQ Chicken & Bacon Pizza (Gluten Free),1 slice,,71,180,7,3.5,0,25,430,22,1,6,8
BBQ Chicken & Bacon Pizza (Thin Crust),1 slice,,104,260,12,4.5,0,35,660,25,1,7,13
Super Hawaiian Pizza (Gluten Free),1 slice,,78,180,8,4,0,25,430,19,1,4,8
Super Hawaiian Pizza (Thin Crust),1 slice,,116,260,13,5,0,35,650,22,1,4,13
Fresh Spinach & Tomato Alfredo Pizza (Gluten Free),1 slice,,70,160,7,3,0,15,310,18,1,2,5
Fresh Spinach & Tomato Alfredo Pizza (Thin Crust),1 slice,,96,210,11,4,0,25,440,19,1,1,8
Tuscan Six Cheese Pizza (Thin Crust),1 slice,,96,250,13,6,0,30,560,20,1,2,11
The Works Pizza (Gluten Free),1 slice,,83,190,10,4.5,0,20,460,19,2,3,7
The Works Pizza (Thin Crust),1 slice,,122,270,15,6,0,35,670,21,1,3,11
The Meats Pizza (Gluten Free),1 slice,,81,220,12,5,0,30,540,19,1,3,8
The Meats Pizza (Thin Crust),1 slice,,114,300,18,7,0,45,790,20,1,2,13
Meatball Pepperoni Pizza (Gluten Free),1 slice,,71,200,10,5,0,25,430,18,1,2,8
Meatball Pepperoni Pizza (Thin Crust),1 slice,,106,280,17,7,0,40,660,20,1,2,12
Philly Cheesesteak Pizza (Gluten Free),1 slice,,76,200,10,4.5,0,20,400,18,1,2,8
Philly Cheesesteak Pizza (Thin Crust),1 slice,,111,290,17,6,0,30,620,20,1,2,12
Fiery Buffalo Chicken Pizza (Gluten Free),1 slice,,67,170,8,4,0,25,520,18,1,2,8
Fiery Buffalo Chicken Pizza (Thin Crust),1 slice,,103,250,13,5,0,40,930,20,1,2,13
Ultimate Pepperoni Pizza (Gluten Free),1 slice,,68,200,11,5,0,25,660,18,1,2,7
Ultimate Pepperoni Pizza (Thin Crust),1 slice,,109,320,21,8,0,45,810,20,1,2,13
Breadsticks,1 stick,,,150,2,0.5,0,0,270,27,1,2,4
Garlic Parmesan Breadsticks,1 stick,,,170,5,1,0,0,360,27,1,2,4
Garlic Knots,1 knot,,,110,4.5,1,0,0,260,14,0,1,2
Cheese Sticks (14),1 stick,,,90,4,1.5,0,10,210,10,0,1,3
Cheese Sticks (16),1 stick,,,110,5,2,0,10,260,13,1,1,4
Unsauced Wings (8 pieces),,,,920,64,17,0,235,1650,5,0,0,75
Unsauced Wings (16 pieces),,,,1830,128,33,0,470,330,9,0,1,150
BBQ Wings (8 pieces),,,,990,64,17,0,235,2040,23,0,17,75
BBQ Wings (16 pieces),,,,1970,128,33,0,470,4070,45,1,33,151
Buffalo Wings (8 pieces),,,,970,68,17,0,235,2820,8,0,3,76
Buffalo Wings (16 pieces),,,,1930,136,35,0,470,5640,17,1,5,151
Honey Chipotle Wings (8 pieces),,,,1010,64,17,0,235,2000,28,1,21,75
Honey Chipotle Wings (16 pieces),,,,2020,128,33,0,470,4010,56,1,42,151
Garlic Parmesan Wings (8 pieces),,,,1150,89,22,0,240,2480,6,0,0,77
Garlic Parmesan Wings (16 pieces),,,,2300,177,44,1,475,4970,12,1,1,154
Chicken Poppers (10 pieces),,,,530,21,3.5,0,115,1550,42,2,2,33
Chicken Poppers (15 pieces),,,,800,31,5,0,175,2320,64,2,2,49
BBQ Sauced Chicken Poppers (10 pieces),,,,620,21,3.5,0,115,2030,65,2,22,33
BBQ Sauced Chicken Poppers (15 Pieces),,,,950,31,5,0,175,3130,102,3,37,50
Buffalo Sauced Chicken Poppers (10 pieces),,,,590,26,4.5,0,115,3130,47,2,4,33
Buffalo Sauced Chicken Poppers (15 pieces),,,,900,40,7,0,175,4800,71,3,7,50
Honey Chipotle Chicken Poppers (10 pieces),,,,650,21,3.5,0,115,1990,72,2,28,33
Honey Chipotle Chicken Poppers (15 pieces),,,,990,32,5,0,175,3070,113,3,47,50
Jalapeno Poppers,1 roll,,,60,2,1,0,5,140,9,0,1,2
Cheese Pizza (Original Crust, Extra Small),1 slice,88,,200,7,3.5,0,20,500,25,1,3,8
Cheese Pizza (Original Crust, Small),1 slice,80,,180,6,2.5,0,15,440,25,1,3,7
Cheese Pizza (Original Crust, Medium),1 slice,91,,210,7,3.5,0,20,520,27,1,3,8
Cheese Pizza (Original Crust, Large),1 slice,126,,290,10,4.5,0,25,710,38,2,5,11
Cheese Pizza (Original Crust, Extra Large),1 slice,218,,490,16,8,0,40,1210,67,3,8,18
Pepperoni Pizza (Original Crust, Extra Small),1 slice,91,,220,10,4,0,25,580,25,1,3,8
Pepperoni Pizza (Original Crust, Small),1 slice,87,,210,8,3.5,0,20,530,25,1,3,8
Pepperoni Pizza (Original Crust, Medium),1 slice,91,,230,9,4,0,20,570,26,1,3,8
Pepperoni Pizza (Original Crust, Large),1 slice,130,,320,13,6,0,30,810,38,2,5,12
Pepperoni Pizza (Original Crust, Extra Large),1 slice,136,,330,13,6,0,30,840,40,2,5,12
"Pepperoni, Smallausage & Six Cheese Pizza (Original Crust, Extra Small)",1 slice,92,,280,15,6,0,35,670,24,1,2,11
"Pepperoni, Smallausage & Six Cheese Pizza (Original Crust, Small)",1 slice,86,,260,13,6,0,30,620,24,1,2,11
"Pepperoni, Smallausage & Six Cheese Pizza (Original Crust, Medium)",1 slice,90,,280,14,6,0,30,650,25,1,2,11
"Pepperoni, Smallausage & Six Cheese Pizza (Original Crust, Large)",1 slice,128,,290,20,9,0,45,920,36,1,3,16
"Pepperoni, Smallausage & Six Cheese Pizza (Original Crust, Extra Large)",1 slice,134,,210,21,9,0,45,960,38,1,3,16
Zesty Italian Trio Pizza (Original Crust, Extra Small),1 slice,101,,250,11,5,0,25,680,25,1,3,10
Zesty Italian Trio Pizza (Original Crust, Small),1 slice,97,,240,11,4.5,0,25,660,25,1,3,9
Zesty Italian Trio Pizza (Original Crust, Medium),1 slice,103,,260,12,5,0,30,710,27,1,3,10
Zesty Italian Trio Pizza (Original Crust, Large),1 slice,149,,370,17,7,0,40,1020,38,2,5,14
Zesty Italian Trio Pizza (Original Crust, Extra Large),1 slice,157,,390,18,7,0,40,1070,40,2,5,15
Garden Fresh Pizza (Original Crust, Extra Small),1 slice,103,,190,6,3,0,15,470,26,1,4,7
Garden Fresh Pizza (Original Crust, Small),1 slice,99,,190,6,2.5,0,15,450,26,1,3,7
Garden Fresh Pizza (Original Crust, Medium),1 slice,106,,200,7,3,0,15,480,27,1,4,7
Garden Fresh Pizza (Original Crust, Large),1 slice,148,,280,9,4,0,20,680,39,2,5,10
Garden Fresh Pizza (Original Crust, Extra Large),1 slice,160,,300,9,4,0,20,710,41,2,6,11
BBQ Chicken & Bacon Pizza (Original Crust, Extra Small),1 slice,105,,240,7,3.5,0,30,670,31,1,8,12
BBQ Chicken & Bacon Pizza (Original Crust, Small),1 slice,92,,220,7,3,0,25,570,29,1,6,10
BBQ Chicken & Bacon Pizza (Original Crust, Medium),1 slice,100,,230,7,3.5,0,25,630,31,1,7,11
BBQ Chicken & Bacon Pizza (Original Crust, Large),1 slice,140,,330,10,4.5,0,35,880,43,2,10,16
BBQ Chicken & Bacon Pizza (Original Crust, Extra Large),1 slice,148,,350,10,4.5,0,40,920,46,2,10,16
Super Hawaiian Pizza (Original Crust, Extra Small),1 slice,105,,230,9,4,0,25,630,27,1,5,10
Super Hawaiian Pizza (Original Crust, Small),1 slice,102,,220,8,3.5,0,25,580,26,1,4,10
Super Hawaiian Pizza (Original Crust, Medium),1 slice,105,,230,8,3.5,0,25,600,27,1,4,10
Super Hawaiian Pizza (Original Crust, Large),1 slice,153,,330,12,5,0,35,870,39,2,7,15
Super Hawaiian Pizza (Original Crust, Extra Large),1 slice,162,,350,12,6,0,35,920,42,2,7,16
Fresh Spinach & Tomato Alfredo Pizza (Original Crust, Extra Small),1 slice,93,,190,7,3,0,20,470,25,1,3,7
Fresh Spinach & Tomato Alfredo Pizza (Original Crust, Small),1 slice,89,,190,6,2.5,0,15,440,25,1,3,7
Fresh Spinach & Tomato Alfredo Pizza (Original Crust, Medium),1 slice,96,,200,7,3,0,20,470,26,1,3,8
Fresh Spinach & Tomato Alfredo Pizza (Original Crust, Large),1 slice,131,,290,9,4,0.2,25,570,37,1,4,13
Fresh Spinach & Tomato Alfredo Pizza (Original Crust, Extra Large),1 slice,140,,300,10,4,0,25,690,39,2,4,11
Tuscan Six Cheese Pizza (Original Crust, Extra Small),1 slice,92,,220,9,4.5,0,20,550,25,1,3,10
Tuscan Six Cheese Pizza (Original Crust, Small),1 slice,89,,220,8,4,0,20,530,26,1,3,9
Tuscan Six Cheese Pizza (Original Crust, Medium),1 slice,94,,230,9,4.5,0,20,560,27,1,3,10
Tuscan Six Cheese Pizza (Original Crust, Large),1 slice,133,,320,12,6,0,30,780,38,2,5,14
Tuscan Six Cheese Pizza (Original Crust, Extra Large),1 slice,139,,330,12,6,0,30,810,40,2,5,14
The Works Pizza (Original Crust, Extra Small),1 slice,110,,230,10,4,0,25,610,26,1,4,9
The Works Pizza (Original Crust, Small),1 slice,106,,230,9,4,0,20,590,26,1,3,9
The Works Pizza (Original Crust, Medium),1 slice,112,,230,9,4,0,25,620,27,1,4,9
The Works Pizza (Original Crust, Large),1 slice,159,,340,14,6,0,35,890,39,2,5,13
The Works Pizza (Original Crust, Extra Large),1 slice,172,,360,15,6,0,35,940,41,2,6,14
The Meats Pizza (Original Crust, Extra Small),1 slice,104,,260,12,5,0,30,700,25,1,3,11
The Meats Pizza (Original Crust, Small),1 slice,101,,250,11,4.5,0,30,680,25,1,3,10
The Meats Pizza (Original Crust, Medium),1 slice,103,,250,11,4.5,0,30,690,27,1,3,11
The Meats Pizza (Original Crust, Large),1 slice,151,,370,17,7,0,45,1010,38,2,5,15
The Meats Pizza (Original Crust, Extra Large),1 slice,162,,400,18,7,0,45,1090,40,2,5,17
Meatball Pepperoni Pizza (Original Crust, Extra Small),1 slice,95,,240,10,4.5,0,25,600,26,1,3,10
Meatball Pepperoni Pizza (Original Crust, Small),1 slice,95,,230,10,4.5,0,25,580,26,1,3,10
Meatball Pepperoni Pizza (Original Crust, Medium),1 slice,98,,240,10,4.5,0,25,600,27,1,3,10
Meatball Pepperoni Pizza (Original Crust, Large),1 slice,142,,360,15,7,0,40,880,38,2,5,15
Meatball Pepperoni Pizza (Original Crust, Extra Large),1 slice,150,,370,16,7,0,40,920,41,2,5,15
Philly Cheesesteak Pizza (Original Crust, Extra Small),1 slice,99,,240,11,4,0,20,550,25,1,3,10
Philly Cheesesteak Pizza (Original Crust, Small),1 slice,99,,240,11,4,0,20,560,25,1,3,10
Philly Cheesesteak Pizza (Original Crust, Medium),1 slice,102,,250,11,4,0,20,570,26,1,3,10
